,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Euzebyella,1287916.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,4.0,5.0,2.0,2.0,31.0,23.0,40.0,30.0,35.0,345.0,344.0,349.0,348.0
Rubrivirga,1434037.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,4.0,26.0,35.0,39.0,30.0,27.0,326.0,333.0,353.0,325.0,304.0,3245.0,3237.0,3256.0,3280.0
Sinomicrobium,1434045.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,9.0,10.0,2.0,13.0,5.0,81.0,78.0,78.0,63.0,84.0,699.0,669.0,715.0,697.0
Thalassotalea,1518149.0,1.0,1.0,1.0,3.0,0.0,8.0,8.0,14.0,8.0,8.0,98.0,88.0,89.0,109.0,86.0,978.0,949.0,958.0,1000.0,975.0,9839.0,9775.0,9887.0,9753.0
Seonamhaeicola,1649495.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,3.0,19.0,15.0,21.0,18.0,28.0,204.0,184.0,237.0,202.0,197.0,2011.0,2004.0,1988.0,2054.0
Pseudorhodoplanes,1734920.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,12.0,15.0,14.0,8.0,6.0,92.0,92.0,95.0,94.0
Nioella,1775424.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,5.0,4.0,4.0,44.0,37.0,33.0,48.0,52.0,491.0,484.0,499.0,487.0
Paraburkholderia,1822464.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,15.0,10.0,11.0,7.0,96.0,84.0,84.0,89.0,78.0,849.0,833.0,889.0,874.0
Qipengyuania,1855416.0,1.0,2.0,3.0,3.0,3.0,33.0,26.0,22.0,35.0,30.0,305.0,263.0,267.0,275.0,302.0,2842.0,2793.0,2830.0,2738.0,2882.0,28152.0,28095.0,28235.0,28120.0
Aliikangiella,1920241.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,12.0,5.0,9.0,6.0,119.0,113.0,94.0,116.0,110.0,1122.0,1050.0,1117.0,1099.0
Halofilum,1929135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,9.0,8.0,7.0,13.0,7.0,94.0,83.0,77.0,93.0
Dictyobacter,2024965.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,41.0,34.0,30.0,32.0
Croceivirga,2039220.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,10.0,3.0,8.0,65.0,45.0,54.0,41.0,52.0,439.0,466.0,455.0,449.0
Cognatishimia,2211635.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,10.0,13.0,12.0,7.0,13.0,107.0,120.0,106.0,125.0,92.0,1082.0,1084.0,1126.0,1127.0
Cognatiyoonia,2211636.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,15.0,12.0,12.0,8.0,8.0,122.0,133.0,130.0,130.0,114.0,1286.0,1281.0,1269.0,1285.0
Pseudaestuariivita,2211639.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,6.0,2.0,53.0,47.0,41.0,45.0,45.0,486.0,461.0,438.0,448.0
Yoonia,2211641.0,1.0,2.0,0.0,0.0,0.0,11.0,16.0,5.0,10.0,11.0,87.0,86.0,99.0,107.0,105.0,994.0,932.0,993.0,968.0,987.0,9720.0,9806.0,9698.0,9755.0
Croceibacterium,2676755.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,2.0,3.0,43.0,48.0,45.0,51.0,26.0,413.0,388.0,385.0,396.0
Rhodophyticola,2680018.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,4.0,5.0,4.0,32.0,36.0,35.0,30.0,34.0,359.0,376.0,375.0,334.0
Novosphingopyxis,2709686.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,11.0,9.0,9.0,8.0,74.0,86.0,71.0,59.0,74.0,802.0,819.0,795.0,807.0
